date,Volume (m)
05/04/2021 18:00,13372250
05/04/2021 18:15,14790036
05/04/2021 18:30,14885681
05/04/2021 18:45,12151828
05/04/2021 19:00,16450894
05/04/2021 19:15,26680590
05/04/2021 19:30,22059905
05/04/2021 19:45,17998714
05/04/2021 20:00,31600237
05/04/2021 20:02,640813
06/04/2021 13:45,763611566
06/04/2021 14:00,288970300
06/04/2021 14:15,172814106
06/04/2021 14:30,164574732
06/04/2021 14:45,90598206
06/04/2021 15:00,124770830
06/04/2021 15:15,124537373
06/04/2021 15:30,127035522
06/04/2021 15:45,73162156
06/04/2021 16:00,52273451
06/04/2021 16:15,79141893
06/04/2021 16:30,47871247
06/04/2021 16:45,70675710
06/04/2021 17:00,47469418
06/04/2021 17:15,41734529
06/04/2021 17:30,31857206
06/04/2021 17:45,17042887
06/04/2021 18:00,14397570
06/04/2021 18:15,23586842
06/04/2021 18:30,23534021
06/04/2021 18:45,26927003
06/04/2021 19:00,39788009
06/04/2021 19:15,34313830
06/04/2021 19:30,26090618
06/04/2021 19:45,22109546
06/04/2021 20:00,40507550
06/04/2021 20:02,158800
07/04/2021 13:45,257959482
07/04/2021 14:00,99028973
07/04/2021 14:15,53010299
07/04/2021 14:30,42569873
07/04/2021 14:45,36660830
07/04/2021 15:00,47048596
07/04/2021 15:15,35209541
07/04/2021 15:30,34184494
07/04/2021 15:45,20488093
07/04/2021 16:00,20178647
07/04/2021 16:15,14625747
07/04/2021 16:30,6967941
07/04/2021 16:45,11248591
07/04/2021 17:00,10846394
07/04/2021 17:15,4585458
07/04/2021 17:30,7752470
07/04/2021 17:45,10708980
07/04/2021 18:00,12472252
07/04/2021 18:15,44028145
07/04/2021 18:30,26318501
07/04/2021 18:45,26790118
07/04/2021 19:00,13084877
07/04/2021 19:15,12586474
07/04/2021 19:30,28372393
07/04/2021 19:45,18976241
07/04/2021 20:00,30633110
07/04/2021 20:02,757834
08/04/2021 13:45,93579578
08/04/2021 14:00,37382036
08/04/2021 14:15,23085864
08/04/2021 14:30,15778150
08/04/2021 14:45,18012849
08/04/2021 15:00,26546215
08/04/2021 15:15,14434393
08/04/2021 15:30,36865154
