name,radius,value,category,colour,label,type
AOZORA BANK,3.5,-25.3,Nikkei 225,,,
ASAHI GROUP HOLDINGS,18.8,-23.6,Nikkei 225,,,
ASAHI KASEI,14.4,-22.3,Nikkei 225,,,
ASTELLAS PHARMA,25.3,-2.5,Nikkei 225,,,
BRIDGESTONE,29.4,-19.1,Nikkei 225,,,
CANON,36.5,-28.5,Nikkei 225,,,
CASIO COMPUTER,3.1,-19.6,Nikkei 225,,,
CENTRAL JAPAN RAILWAY,43.5,14.8,Nikkei 225,,,
CHIBA BANK,4.8,-34.5,Nikkei 225,,,
CHIYODA CORPORATION,0.7,-62.7,Nikkei 225,,,
CHUBU ELEC.POWER,10.8,11.6,Nikkei 225,,,
CHUGAI PHARM.,32.5,10.6,Nikkei 225,,,
CITIZEN WATCH,1.6,-34.5,Nikkei 225,,,
COMSYS HOLDINGS,3.4,-17.8,Nikkei 225,,,
CONCORDIA FINANCIAL GP.,4.9,-37.9,Nikkei 225,,,
CREDIT SAISON,2.2,-37,Nikkei 225,,,
CYBERAGENT,4.9,-3.5,Nikkei 225,,,
DAI NIPPON PRINTING,6.8,-8.6,Nikkei 225,,,
DAI-ICHI LIFE HOLDINGS,18.8,-26.1,Nikkei 225,,,
DAIICHI SANKYO,22.7,19.5,Nikkei 225,,,
DAIKIN INDUSTRIES,31.2,-12.3,Nikkei 225,,,
DAIWA HOUSE INDUSTRY,21.2,-19.2,Nikkei 225,,,
DAIWA SECURITIES GROUP,8.6,-21.3,Nikkei 225,,,
DENA,2.5,-21.1,Nikkei 225,,,
DENKA,2.5,-31.1,Nikkei 225,,,
DENSO,35.1,-27.7,Nikkei 225,,,
DENTSU,12.9,2.7,Nikkei 225,,,
DIC,2.9,-20.9,Nikkei 225,,,
DOWA HDG.,1.9,-28.3,Nikkei 225,,,
EAST JAPAN RAILWAY,33.8,-11.7,Nikkei 225,,,
EBARA,2.3,-42.5,Nikkei 225,,,
EISAI,23,32.5,Nikkei 225,,,
FAMILYMART UNY HOLDINGS,16.1,76.1,Nikkei 225,,yes,
FANUC,31,-38.4,Nikkei 225,,,
FAST RETAILING,54.5,25.5,Nikkei 225,,,
FUJI ELECTRIC,4.4,-23.6,Nikkei 225,,,
FUJIFILM HOLDINGS,20,-7.3,Nikkei 225,,,
FUJIKURA,1.2,-56,Nikkei 225,,,
FUJITSU,12.9,-14.7,Nikkei 225,,,
FUKUOKA FINANCIAL GP.,3.5,-29.3,Nikkei 225,,,
FURUKAWA ELECTRIC,1.8,-50.3,Nikkei 225,,,
GS YUASA,1.7,-19.9,Nikkei 225,,,
HASEKO,3.2,-34,Nikkei 225,,,
HINO MOTORS,5.4,-28.8,Nikkei 225,,,
HITACHI,25.9,-33.1,Nikkei 225,,,
HITACHI CON.MCH.,5,-37.2,Nikkei 225,,,
HITACHI ZOSEN,0.5,-43.7,Nikkei 225,,,
HONDA MOTOR,47.8,-25.1,Nikkei 225,,,
IHI,4.3,-19.2,Nikkei 225,,,
INPEX,13.1,-30.3,Nikkei 225,,,
ISETAN MITSUKOSHI HDG.,4.4,-13,Nikkei 225,,,
ISUZU MOTORS,12,-17.9,Nikkei 225,,,
ITOCHU,27,-11.2,Nikkei 225,,,
J FRONT RETAILING,3.1,-40.7,Nikkei 225,,,
JAPAN POST HOLDINGS,51.9,-2.1,Nikkei 225,,,
JAPAN STEEL WORKS,1.2,-51.1,Nikkei 225,,,
JAPAN TOBACCO,47.7,-27.9,Nikkei 225,,,
JFE HOLDINGS,9.8,-35.1,Nikkei 225,,,
JGC,3.7,-29,Nikkei 225,,,
JTEKT,3.8,-36.7,Nikkei 225,,,
JXTG HOLDINGS,17.8,-20.7,Nikkei 225,,,
KAJIMA,7.1,-31.8,Nikkei 225,,,
KANSAI ELECTRIC PWR.,14.1,19.6,Nikkei 225,,,
KAO,36.3,7,Nikkei 225,,,
KAWASAKI HEAVY INDUSTRY,3.6,-40.5,Nikkei 225,,,
KAWASAKI KISEN KAISHA,1.2,-52.8,Nikkei 225,,,
KDDI,60.6,-6.4,Nikkei 225,,,
KEIO,7.5,29,Nikkei 225,,,
KEISEI ELEC.RAILWAY,5.4,-5,Nikkei 225,,,
KIKKOMAN,10.4,29.6,Nikkei 225,,,
KIRIN HOLDINGS,19.1,-19.1,Nikkei 225,,,
KOBE STEEL,2.5,-26.9,Nikkei 225,,,
KOMATSU,21,-42,Nikkei 225,,,
KONAMI HOLDINGS,6.3,-22.5,Nikkei 225,,,
KONICA MINOLTA,4.5,-8.4,Nikkei 225,,,
KUBOTA,17.5,-29.3,Nikkei 225,,,
KURARAY,5,-27.1,Nikkei 225,,,
KYOCERA,19,-25.3,Nikkei 225,,,
KYOWA HAKKO KIRIN,10.9,-4.7,Nikkei 225,,,
MARUBENI,12.2,-5.4,Nikkei 225,,,
MARUHA NICHIRO,1.8,8.7,Nikkei 225,,,
MARUI GROUP,4.3,3.4,Nikkei 225,,,
MATSUI SECURITIES,2.7,21.5,Nikkei 225,,,
MAZDA MOTOR,6.5,-24.9,Nikkei 225,,,
MEIJI HOLDINGS,12.5,-6.6,Nikkei 225,,,
MINEBEA MITSUMI,6.2,-32.7,Nikkei 225,,,
MITSUBISHI,43.8,-3,Nikkei 225,,,
MITSUBISHI CHM.HDG.,11.4,-32.7,Nikkei 225,,,
MITSUBISHI ELECTRIC,23.8,-35,Nikkei 225,,,
MITSUBISHI ESTATE,21.9,-11.8,Nikkei 225,,,
MITSUBISHI HEAVY INDS.,12.2,-6,Nikkei 225,,,
MITSUBISHI LOGISTICS,2,-14.6,Nikkei 225,,,
MITSUBISHI MATERIALS,3.5,-27.8,Nikkei 225,,,
MITSUBISHI MOTORS,8.2,-26,Nikkei 225,,,
MITSUBISHI UFJ FINL.GP.,67.8,-34.9,Nikkei 225,,yes,
MITSUI,26.8,-7.7,Nikkei 225,,,
MITSUI CHEMICALS,4.6,-31.5,Nikkei 225,,,
MITSUI E&S HOLDINGS,0.8,-39,Nikkei 225,,,
MITSUI FUDOSAN,22.1,-3.2,Nikkei 225,,,
MITSUI MNG.& SMELT.,1.2,-65.4,Nikkei 225,,yes,
MITSUI OSK LINES,2.6,-36.2,Nikkei 225,,,
MIZUHO FINL.GP.,39.4,-16.8,Nikkei 225,,,
MS&AD INSURANCE GP.HDG.,16.9,-17.9,Nikkei 225,,,
NEC,7.8,7.4,Nikkei 225,,,
NGK INSULATORS,4.5,-29.9,Nikkei 225,,,
NH FOODS,4.1,-24.8,Nikkei 225,,,
NICHIREI,3.9,-2.9,Nikkei 225,,,
NIKON,6,-28,Nikkei 225,,,
NIPPON ELEC.GLASS,2.4,-37.4,Nikkei 225,,,
NIPPON EXPRESS,5.6,-18.3,Nikkei 225,,,
NIPPON KAYAKU,2.3,-16.2,Nikkei 225,,,
NIPPON LIGHT METAL HDG.,1.3,-30.5,Nikkei 225,,,
NIPPON PAPER INDUSTRIES,2.1,-8.3,Nikkei 225,,,
NIPPON SHEET GLASS,0.7,-18.4,Nikkei 225,,,
NIPPON STL.& SUMIT.MTL.,16.4,-34.5,Nikkei 225,,,
NIPPON SUISAN KAISHA,1.7,4.2,Nikkei 225,,,
NIPPON TELG. & TEL.,79.7,-15.4,Nikkei 225,,,
NIPPON YUSEN KK,2.6,-38.5,Nikkei 225,,,
NISSAN CHEMICAL,7.8,28.1,Nikkei 225,,,
NISSAN MOTOR,33.9,-21.6,Nikkei 225,,yes,
NISSHIN SEIFUN,6.3,-0.2,Nikkei 225,,,
NISSHINBO HOLDINGS,1.4,-45.6,Nikkei 225,,,
NITTO DENKO,8.8,-44.6,Nikkei 225,,,
NOMURA HDG.,13.4,-36.7,Nikkei 225,,,
NSK,4.8,-46.5,Nikkei 225,,,
NTN,1.5,-43.1,Nikkei 225,,,
NTT DATA,15.4,-10,Nikkei 225,,,
NTT DOCOMO INC,85.2,-7.1,Nikkei 225,,yes,
OBAYASHI,6.5,-27.1,Nikkei 225,,,
ODAKYU ELECTRIC RY.,8.1,0.3,Nikkei 225,,,
OJI HOLDINGS,5.2,-24.7,Nikkei 225,,,
OKI ELECTRIC IND.,1,-17.8,Nikkei 225,,,
OKUMA,1.6,-29.8,Nikkei 225,,,
OLYMPUS,10.5,-21.9,Nikkei 225,,,
OSAKA GAS,7.6,-7.4,Nikkei 225,,,
OTSUKA HOLDINGS,22.8,-9.2,Nikkei 225,,,
PACIFIC METALS,0.5,-14.9,Nikkei 225,,,
PANASONIC,22.1,-39.9,Nikkei 225,,,
PIONEER,0.2,-71.9,Nikkei 225,,yes,
RAKUTEN,9.6,-28.7,Nikkei 225,,,
RECRUIT HOLDINGS,41.2,-4.9,Nikkei 225,,,
RESONA HOLDINGS,11.2,-21.5,Nikkei 225,,,
RICOH,7.3,2.9,Nikkei 225,,,
SAPPORO HOLDINGS,1.6,-33.5,Nikkei 225,,,
SCREEN HOLDINGS,2.1,-50.1,Nikkei 225,,,
SECOM,19.4,7.1,Nikkei 225,,,
SEIKO EPSON,5.6,-41.8,Nikkei 225,,,
SEKISUI HOUSE,10.2,-20.5,Nikkei 225,,,
SEVEN & I HDG.,38.6,2.1,Nikkei 225,,,
SHIMIZU,6.4,-23.1,Nikkei 225,,,
SHIN-ETSU CHEMICAL,33.3,-25.4,Nikkei 225,,,
SHINSEI BANK,3.1,-32.8,Nikkei 225,,,
SHIONOGI,18.5,2.9,Nikkei 225,,,
SHISEIDO,25.1,26.6,Nikkei 225,,,
SHIZUOKA BANK,4.8,-26,Nikkei 225,,,
SHOWA DENKO KK,4.5,-32.1,Nikkei 225,,,
SHOWA SHELL SEKIYU,5.2,0.7,Nikkei 225,,,
SKY PERFECT JSAT HDG.,1.5,-9.1,Nikkei 225,,,
SOFTBANK GROUP,73.3,-18.1,Nikkei 225,,yes,
SOJITZ,4.4,10.4,Nikkei 225,,,
SOMPO HOLDINGS,12.7,-14.5,Nikkei 225,,,
SONY,61.7,4.8,Nikkei 225,,yes,
SONY FINANCIAL HOLDINGS,8.1,3,Nikkei 225,,,
SUBARU,16.5,-34.1,Nikkei 225,,,
SUMCO,3.3,-57.5,Nikkei 225,,,
SUMITOMO,17.8,-18.5,Nikkei 225,,,
SUMITOMO CHEMICAL,8,-34.2,Nikkei 225,,,
SUMITOMO DAINIPPON PHA.,12.7,108.8,Nikkei 225,,yes,
SUMITOMO ELECTRIC IND.,10.6,-23.3,Nikkei 225,,,
SUMITOMO HEAVY INDS.,3.7,-31.3,Nikkei 225,,,
SUMITOMO METAL MINING,7.8,-43.1,Nikkei 225,,,
SUMITOMO MITSUI FINL.GP.,46.5,-25.1,Nikkei 225,,,
SUMITOMO MITSUI TST.HDG.,14.3,-10.1,Nikkei 225,,,
SUMITOMO OSAKA CEMENT,1.7,-16.9,Nikkei 225,,,
SUMITOMO REAL.&DEV.,17.5,8.7,Nikkei 225,,,
SUZUKI MOTOR,24.9,-14.8,Nikkei 225,,,
T & D HOLDINGS,7.6,-33.6,Nikkei 225,,,
TAIHEIYO CEMENT,3.9,-30.2,Nikkei 225,,,
TAISEI,9.6,-16.1,Nikkei 225,,,
TAIYO YUDEN,1.9,-6.8,Nikkei 225,,,
TAKARA HDG.,2.5,1.7,Nikkei 225,,,
TAKASHIMAYA,2.3,-40.8,Nikkei 225,,,
TAKEDA PHARMACEUTICAL,26.8,-42.1,Nikkei 225,,yes,
TDK,9.1,-14.1,Nikkei 225,,,
TEIJIN,3.2,-30,Nikkei 225,,,
TERUMO,21.5,16.6,Nikkei 225,,,
TOBU RAILWAY,5.7,-18.6,Nikkei 225,,,
TOHO,6.9,1.9,Nikkei 225,,,
TOHO ZINC,0.4,-45.2,Nikkei 225,,,
TOKAI CARBON,2.6,-10.5,Nikkei 225,,,
TOKIO MARINE HOLDINGS,34.3,1.8,Nikkei 225,,,
TOKUYAMA,1.5,-34,Nikkei 225,,,
TOKYO DOME,0.8,-18.2,Nikkei 225,,,
TOKYO ELECTRIC POWER CO. HDG.,9.6,46.4,Nikkei 225,,,
TOKYO ELECTRON,18.8,-38.7,Nikkei 225,,,
TOKYO GAS,11.5,8,Nikkei 225,,,
TOKYO TATEMONO,2.3,-25.1,Nikkei 225,,,
TOKYU,10.2,-0.2,Nikkei 225,,,
TOKYU FUDOSAN HOLDINGS,3.6,-33.5,Nikkei 225,,,
TOPPAN PRINTING,5.2,-20.7,Nikkei 225,,,
TORAY INDS.,11.5,-27.3,Nikkei 225,,,
TOSOH,4.2,-43.9,Nikkei 225,,,
TOTO,6.1,-42.7,Nikkei 225,,,
TOYO SEIKAN GROUP HDG.,4.7,39.3,Nikkei 225,,,
TOYOBO,1.2,-26.8,Nikkei 225,,,
TOYOTA MOTOR,190.5,-11.2,Nikkei 225,,yes,
TOYOTA TSUSHO,10.5,-28.4,Nikkei 225,,,
TREND MICRO,7.6,-6.6,Nikkei 225,,,
UBE INDUSTRIES,2.2,-32.6,Nikkei 225,,,
UNITIKA,0.2,-43.7,Nikkei 225,,,
WEST JAPAN RAILWAY,13.6,-5.7,Nikkei 225,,,
YAHOO JAPAN,12.9,-47,Nikkei 225,,,
YAMAHA,8.2,12.5,Nikkei 225,,,
YAMAHA MOTOR,6.9,-41.6,Nikkei 225,,,
YAMATO HDG.,11.3,33.4,Nikkei 225,,,
YASKAWA ELECTRIC,6.6,-45.7,Nikkei 225,,,
YOKOGAWA ELECTRIC,4.7,-11.9,Nikkei 225,,,
YOKOHAMA RUBBER,3.2,-25.3,Nikkei 225,,,
