id,constituency,county,region,country,Conservative Party,Liberal Democrats,Labour 
E14000779,LEEDS NORTH EAST,West Yorkshire,Yorkshire and The Humber,England,0.31,0.04,0.63
E14000780,LEEDS NORTH WEST,West Yorkshire,Yorkshire and The Humber,England,0.20,0.35,0.44
E14000781,LEEDS WEST,West Yorkshire,Yorkshire and The Humber,England,0.26,0.02,0.64
E14000782,LEICESTER EAST,Leicestershire,East Midlands,England,0.24,0.03,0.67
E14000783,LEICESTER SOUTH,Leicestershire,East Midlands,England,0.22,0.03,0.74
E14000784,LEICESTER WEST,Leicestershire,East Midlands,England,0.31,0.02,0.61
E14000785,LEIGH,Greater Manchester,North West,England,0.36,0.02,0.56
E14000786,LEWES,East Sussex,South East,England,0.49,0.39,0.11
E14000787,LEWISHAM EAST,London,London,England,0.23,0.04,0.68
E14000788,LEWISHAM WEST AND PENGE,London,London,England,0.23,0.06,0.67
E14000789,"LEWISHAM, DEPTFORD",London,London,England,0.14,0.05,0.77
E14000790,LEYTON AND WANSTEAD,London,London,England,0.21,0.06,0.70
E14000791,LICHFIELD,Staffordshire,West Midlands,England,0.64,0.05,0.29
E14000792,LINCOLN,Lincolnshire,East Midlands,England,0.45,0.03,0.48
E14000793,"LIVERPOOL, RIVERSIDE",Merseyside,North West,England,0.10,0.02,0.85
E14000794,"LIVERPOOL, WALTON",Merseyside,North West,England,0.09,0.02,0.86
E14000795,"LIVERPOOL, WAVERTREE",Merseyside,North West,England,0.12,0.07,0.80
E14000796,"LIVERPOOL, WEST DERBY",Merseyside,North West,England,0.10,0.01,0.83
E14000797,LOUGHBOROUGH,Leicestershire,East Midlands,England,0.50,0.04,0.42
E14000798,LOUTH AND HORNCASTLE,Lincolnshire,East Midlands,England,0.64,0.04,0.27
E14000799,LUDLOW,Shropshire,West Midlands,England,0.63,0.11,0.24
E14000800,LUTON NORTH,Bedfordshire,Eastern,England,0.33,0.02,0.64
E14000801,LUTON SOUTH,Bedfordshire,Eastern,England,0.32,0.02,0.62
E14000802,MACCLESFIELD,Cheshire,North West,England,0.53,0.06,0.37
E14000803,MAIDENHEAD,Berkshire,South East,England,0.65,0.11,0.19
E14000804,MAIDSTONE AND THE WEALD,Kent,South East,England,0.56,0.16,0.22
E14000805,MAKERFIELD,Greater Manchester,North West,England,0.31,0.03,0.60
E14000806,MALDON,Essex,Eastern,England,0.68,0.04,0.21
E14000807,MANCHESTER CENTRAL,Greater Manchester,North West,England,0.14,0.03,0.77
E14000808,"MANCHESTER, GORTON",Greater Manchester,North West,England,0.07,0.06,0.76
E14000809,"MANCHESTER, WITHINGTON",Greater Manchester,North West,England,0.10,0.16,0.72
E14000810,MANSFIELD,Nottinghamshire,East Midlands,England,0.47,0.01,0.45
E14000811,MEON VALLEY,Hampshire,South East,England,0.66,0.11,0.18
E14000812,MERIDEN,West Midlands,West Midlands,England,0.62,0.05,0.27
E14000813,MID BEDFORDSHIRE,Bedfordshire,Eastern,England,0.62,0.06,0.28
E14000814,MID DERBYSHIRE,Derbyshire,East Midlands,England,0.59,0.04,0.36
E14000815,MID DORSET AND NORTH POOLE,Dorset,South West,England,0.59,0.27,0.13
E14000816,MID NORFOLK,Norfolk,Eastern,England,0.59,0.05,0.30
E14000817,MID SUSSEX,West Sussex,South East,England,0.57,0.13,0.25
E14000818,MID WORCESTERSHIRE,Hereford and Worcester,West Midlands,England,0.65,0.06,0.23
E14000819,MIDDLESBROUGH,Cleveland,North East,England,0.27,0.01,0.66
E14000820,MIDDLESBROUGH SOUTH AND EAST CLEVELAND,Cleveland,North East,England,0.50,0.03,0.48
E14000821,MILTON KEYNES NORTH,Buckinghamshire,South East,England,0.48,0.04,0.44
E14000822,MILTON KEYNES SOUTH,Buckinghamshire,South East,England,0.47,0.03,0.45
E14000823,MITCHAM AND MORDEN,London,London,England,0.24,0.03,0.69
E14000824,MOLE VALLEY,Surrey,South East,England,0.62,0.19,0.14
E14000825,MORECAMBE AND LUNESDALE,Lancashire,North West,England,0.48,0.04,0.45
E14000826,MORLEY AND OUTWOOD,West Yorkshire,Yorkshire and The Humber,England,0.51,0.03,0.47
E14000827,NEW FOREST EAST,Hampshire,South East,England,0.63,0.15,0.20
E14000828,NEW FOREST WEST,Hampshire,South East,England,0.67,0.10,0.20
E14000829,NEWARK,Nottinghamshire,East Midlands,England,0.63,0.05,0.30
E14000830,NEWBURY,Berkshire,South East,England,0.61,0.21,0.14
E14000831,NEWCASTLE UPON TYNE CENTRAL,Tyne and Wear,North East,England,0.25,0.05,0.65
E14000832,NEWCASTLE UPON TYNE EAST,Tyne and Wear,North East,England,0.21,0.06,0.68
E14000833,NEWCASTLE UPON TYNE NORTH,Tyne and Wear,North East,England,0.34,0.05,0.55
E14000834,NEWCASTLE-UNDER-LYME,Staffordshire,West Midlands,England,0.48,0.04,0.48
E14000835,NEWTON ABBOT,Devon,South West,England,0.55,0.21,0.22
E14000836,"NORMANTON, PONTEFRACT AND CASTLEFORD",West Yorkshire,Yorkshire and The Humber,England,0.30,0.01,0.59
E14000837,NORTH CORNWALL,Cornwall,South West,England,0.51,0.37,0.12
E14000838,NORTH DEVON,Devon,South West,England,0.46,0.38,0.13
E14000839,NORTH DORSET,Dorset,South West,England,0.65,0.14,0.19
E14000840,NORTH DURHAM,Durham,North East,England,0.30,0.05,0.60
E14000841,NORTH EAST BEDFORDSHIRE,Bedfordshire,Eastern,England,0.61,0.06,0.28
E14000842,NORTH EAST CAMBRIDGESHIRE,Cambridgeshire,Eastern,England,0.64,0.04,0.25
E14000843,NORTH EAST DERBYSHIRE,Derbyshire,East Midlands,England,0.49,0.03,0.44
